reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,country
188,210,38,173,248,-22,-10,-22,210,188,-10,2020m1,Australia
147,159,34,125,193,-12,-7,-34,369,335,-9,2020m2,Australia
139,173,21,152,194,-34,-19,-68,542,474,-12,2020m3,Australia
125,156,11,145,167,-31,-19,-99,698,599,-14,2020m4,Australia
151,183,26,158,209,-32,-17,-131,881,750,-14,2020m5,Australia
150,157,9,148,165,-7,-4,-138,1038,900,-13,2020m6,Australia
209,335,27,308,362,-126,-37,-264,1373,1109,-19,2020m7,Australia
106,158,21,137,178,-52,-32,-316,1531,1215,-20,2020m8,Australia
88,147,15,133,162,-59,-40,-375,1678,1303,-22,2020m9,Australia
58,158,17,141,175,-100,-63,-475,1836,1361,-25,2020m10,Australia
28,146,17,129,162,-118,-80,-593,1982,1389,-29,2020m11,Australia
2,138,14,125,151,-136,-98,-729,2120,1391,-34,2020m12,Australia
