reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
75,90,27,63,116,-15,-16,-15,90,75,-16,2020m1,47,165,69,96,234,-118,-71,-118,165,47,-71,New Zealand
121,91,5,87,95,30,33,15,181,196,9,2020m2,47,395,209,187,603,-348,-88,-466,560,94,-83,New Zealand
104,142,40,103,182,-38,-26,-23,323,300,-7,2020m3,68,192,77,116,269,-124,-64,-590,752,162,-78,New Zealand
57,92,14,78,105,-35,-38,-58,415,357,-13,2020m4,15,81,22,60,102,-66,-81,-656,833,177,-78,New Zealand
74,135,45,90,180,-61,-45,-119,550,431,-21,2020m5,15,202,92,111,294,-187,-92,-843,1035,192,-81,New Zealand
115,154,61,93,214,-39,-25,-158,704,546,-22,2020m6,44,191,73,119,264,-147,-76,-990,1226,236,-80,New Zealand
117,111,26,86,136,6,6,-152,815,663,-18,2020m7,31,142,85,58,226,-111,-78,-1101,1368,267,-80,New Zealand
112,118,21,97,139,-6,-5,-158,933,775,-16,2020m8,139,62,26,37,88,77,125,-1024,1430,406,-71,New Zealand
99,100,16,85,115,-1,-1,-159,1033,874,-15,2020m9,54,94,31,64,124,-40,-42,-1064,1524,460,-69,New Zealand
59,97,19,78,116,-38,-39,-197,1130,933,-17,2020m10,33,71,35,36,106,-38,-53,-1102,1595,493,-69,New Zealand
